dataframe
Product,shipping
The Last of Us Part II - PlayStation 4,0.0
For Honor Marching Fire Edition - PlayStation 4,199.0
Tom Clancy's The Division 2 - PlayStation 4,0.0
The Elder Scrolls Online: Elsweyr - PlayStation 4,0.0
Sekiro: Shadows Die Twice - PlayStation 4,0.0
Yakuza 6: Essence of Art Edition - PlayStation 4,0.0
Call of Duty: Modern Warfare - PlayStation 4,0.0
Knack 2 - PlayStation 4,299.0
Red Dead Redemption 2 - PlayStation 4,0.0
Monster Hunter: World - PlayStation 4,0.0
Hitman: Definitive Edition - PlayStation 4,0.0
Divinity: Original Sin II Definitive Edition - PlayStation 4,0.0
Need for Speed: Rivals PlayStation 4,864.0
Valthirian Arc - PlayStation 4,399.0
Mirror's Edge: Catalyst - PlayStation 4,0.0
Middle-Earth: Shadow Of War - PlayStation 4,0.0
Destiny 2 - PlayStation 4,0.0
Kromaia Omega for Sony PS4,0.0
Rage 2 - PlayStation 4,0.0
Megadimension Neptunia VIIR - PlayStation VR,0.0
Super Neptunia RPG - PlayStation 4,0.0
Marvel's Spider-Man: Miles Morales Launch Edition - PlayStation 4,0.0
Call of Duty: Infinite Warfare - Standard Edition - PlayStation 4,399.0
Ghost of Tsushima - PlayStation 4,0.0
Call of Duty: Black Ops III - PlayStation 4,0.0
Assassins Creed Valhalla - PlayStation 4,0.0
Marvel's Spider-Man: Game of the Year Edition - PlayStation 4,0.0
Resident Evil 2 - PlayStation 4,0.0
Naruto Shippuden Ultimate Ninja Storm 4 - PlayStation 4,0.0
Everybody's Golf VR - PlayStation 4,0.0
The Last of Us Part II - PlayStation 4,0.0
Yakuza 6: The Song of Life (After Hours Premium Edition) - PlayStation 4,599.0
The Last of Us Remastered - PlayStation 4,0.0
Dead or Alive 6 - PlayStation 4,394.0
Dark Souls III: The Fire Fades Edition - PlayStation 4,0.0
Fate/Extella Link - PlayStation 4,0.0
Assassin's Creed Origins - PlayStation 4,0.0
