dataframe2
Product,shipping,Brand,price
The Last of Us Part II - PlayStation 4,0.0,PlayStation,59.99
The Last of Us Part II - PlayStation 4,0.0,PlayStation,59.99
The Last of Us Part II - PlayStation 4,0.0,PlayStation,59.99
The Last of Us Part II - PlayStation 4,0.0,PlayStation,59.99
For Honor Marching Fire Edition - PlayStation 4,199.0,Ubisoft,32.99
Tom Clancy's The Division 2 - PlayStation 4,0.0,Ubisoft,15.0
The Elder Scrolls Online: Elsweyr - PlayStation 4,0.0,Bethesda Softworks,25.29
Sekiro: Shadows Die Twice - PlayStation 4,0.0,Activision,48.0
Yakuza 6: Essence of Art Edition - PlayStation 4,0.0,Sega,59.99
Call of Duty: Modern Warfare - PlayStation 4,0.0,Activision,50.59
Knack 2 - PlayStation 4,299.0,PlayStation,19.99
Red Dead Redemption 2 - PlayStation 4,0.0,Rockstar Games,49.0
Monster Hunter: World - PlayStation 4,0.0,Capcom,21.1
Hitman: Definitive Edition - PlayStation 4,0.0,Warner Brothers,24.33
Divinity: Original Sin II Definitive Edition - PlayStation 4,0.0,Bandai Namco Entertainment America Inc,20.99
Need for Speed: Rivals PlayStation 4,864.0,Electronic Arts,59.99
Valthirian Arc - PlayStation 4,399.0,PQube Limited,19.99
Mirror's Edge: Catalyst - PlayStation 4,0.0,Electronic Arts,21.34
Middle-Earth: Shadow Of War - PlayStation 4,0.0,Warner Brothers,9.72
Destiny 2 - PlayStation 4,0.0,Activision,5.25
Kromaia Omega for Sony PS4,0.0,PlayStation,19.99
Rage 2 - PlayStation 4,0.0,Bethesda Softworks,20.0
Megadimension Neptunia VIIR - PlayStation VR,0.0,Idea Factory,59.99
Super Neptunia RPG - PlayStation 4,0.0,Idea Factory,33.61
Marvel's Spider-Man: Miles Morales Launch Edition - PlayStation 4,0.0,PlayStation,49.99
Call of Duty: Infinite Warfare - Standard Edition - PlayStation 4,399.0,Activision,4.99
Ghost of Tsushima - PlayStation 4,0.0,PlayStation,41.99
Call of Duty: Black Ops III - PlayStation 4,0.0,Activision,14.99
Assassins Creed Valhalla - PlayStation 4,0.0,Ubisoft,59.99
Marvel's Spider-Man: Game of the Year Edition - PlayStation 4,0.0,PlayStation,24.98
Resident Evil 2 - PlayStation 4,0.0,Capcom,19.49
Naruto Shippuden Ultimate Ninja Storm 4 - PlayStation 4,0.0,Bandai Namco Entertainment America Inc,19.99
Everybody's Golf VR - PlayStation 4,0.0,PlayStation,9.99
Yakuza 6: The Song of Life (After Hours Premium Edition) - PlayStation 4,599.0,Sega,
The Last of Us Remastered - PlayStation 4,0.0,PlayStation,19.95
Dead or Alive 6 - PlayStation 4,394.0,KOEI TECMO AMERICA CORP.,14.99
Dark Souls III: The Fire Fades Edition - PlayStation 4,0.0,Bandai Namco Entertainment America Inc,19.99
Fate/Extella Link - PlayStation 4,0.0,XSEED Games,30.99
Assassin's Creed Origins - PlayStation 4,0.0,Ubisoft,19.99
